dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,Fuel_Swelling,Porosity,Bubble_Size
7.47E-05,0.774940958,0.05481468,1.36E-09,18641.54499,3.77E-07,1.29E-09,2.00E-18,9.99E-07,57.55101143,22.07963987,0.489307695
1.30E-05,0.675473956,0.060356629,1.52E-09,19872.46233,2.14E-07,9.06E-10,2.82E-18,2.97E-07,25.1405888,1.469034822,0.025830699
5.09E-05,0.677313021,0.012725312,4.47E-09,28897.22929,2.17E-09,2.96E-09,1.80E-18,6.80E-07,57.11384909,22.28908766,0.460671955
9.20E-05,0.596223739,0.078834405,7.37E-10,37200.18634,1.22E-07,8.64E-10,1.75E-18,5.21E-07,98.91092606,36.26926207,1.311413412
5.91E-05,0.805283451,0.020130876,2.56E-09,17827.03274,2.17E-07,2.82E-09,1.25E-18,9.85E-07,56.92729565,22.14893598,0.42340383
1.66E-05,0.80125981,0.017406818,2.40E-09,34916.10019,2.84E-07,2.03E-09,1.61E-18,4.72E-07,24.21894085,1.120825369,0.06725863
4.77E-05,0.838158847,0.053364463,4.06E-09,16211.05335,1.28E-07,8.69E-10,1.87E-18,6.37E-07,36.87320237,11.21339069,0.239353743
8.05E-05,0.680159248,0.034648063,3.64E-09,32902.11814,1.62E-07,1.95E-09,1.17E-18,5.57E-07,67.35852488,26.60560932,0.593041516
8.12E-05,0.563188852,0.05547745,1.08E-09,42203.79961,3.63E-07,2.32E-09,2.79E-18,3.15E-07,67.81207486,26.2666837,0.828805442
6.74E-05,0.814962753,0.045670083,3.58E-09,42893.30834,2.94E-07,1.99E-09,2.42E-18,8.28E-07,49.55825206,18.56347798,0.415185947
2.43E-05,0.661254981,0.022436278,1.65E-09,40127.74777,2.35E-07,1.03E-09,2.13E-18,8.84E-07,33.27012374,8.004080337,0.570835437
6.21E-05,0.507908467,0.076909239,3.93E-09,16303.26682,1.96E-07,2.91E-09,3.88E-18,4.51E-07,41.06928917,13.85070639,0.332612465
